Player,Actual_Y,Linear_Regression,MLPRegressor,SVMR,DeepNN
155,87.91891892,81.54150391,81.20967782,81.69610992,81.93470764
156,90.86666667,77.12573242,76.88075298,78.26715725,75.69291687
157,86.5,70.12832642,70.38197812,73.34145547,70.41841125
158,60.21052632,73.03515625,73.6467291,74.92110994,73.51516724
159,86.04273504,80.50897217,83.20865468,84.51305522,84.92875671
160,74.61111111,69.90170288,69.53200148,72.46851127,69.54111481
161,85.46728972,82.26800537,81.07085194,83.14567322,81.58374023
162,83.82978723,79.86618042,78.99419649,81.54209095,79.5409317
163,75.57142857,78.73699951,79.00230313,83.89548873,79.85109711
164,81.30769231,75.80374146,76.52051797,78.32349247,76.68657684
165,70.5,71.31665039,71.85270042,74.06476029,71.69077301
166,76.90625,76.28149414,76.96669625,79.9189158,76.49306488
167,20.5,70.97171021,71.31701895,73.91802132,71.40285492
168,77.11764706,71.04837036,70.38750605,74.62806997,69.56572723
169,82.2745098,81.12954712,81.57566165,82.64907648,82.16062927
170,86.44565217,84.13806152,83.08697536,84.11670886,83.68774414
171,86.25,77.07382202,77.31096516,79.57877257,77.19803619
172,88.61458333,84.60256958,84.64125029,82.5842981,84.04381561
173,75,69.10961914,69.50306678,73.00907952,69.37406158
174,85.37037037,77.5892334,77.92714334,79.54268018,78.05778503
175,77.76388889,79.10253906,78.63310925,81.53035459,78.59381866
176,90.05882353,89.43099976,90.46785224,88.22788603,88.3030014
177,94.72727273,76.52307129,77.16594218,78.67921655,77.28962708
178,76,72.08322144,72.70791988,74.99523012,72.75144196
179,89.44444444,84.50012207,82.68242883,84.61704624,83.84445953
180,69,70.71514893,70.70144283,73.41511268,70.91962433
181,83.66666667,80.43212891,80.72439233,80.73332384,81.46688843
182,77.71428571,75.9309082,75.85254306,76.29250121,75.83422089
183,72.26666667,77.06622314,77.57787002,80.03294428,76.55846405
184,81.57894737,83.94714355,84.2209194,83.69373004,84.66766357
185,79.72131148,82.2333374,81.21437329,79.89936894,82.3719635
186,87.2,74.57266235,74.42737102,75.19917848,74.59770966
187,75.5,73.29165649,73.39513997,75.24654134,73.63793182
188,76.91666667,69.35153198,69.33795474,72.48162876,69.12407684
189,88.6,74.81118774,74.84682707,75.93796459,75.25616455
190,92.01351351,87.89221191,89.73840443,90.92439103,89.86399841
191,84.30701754,83.34991455,87.57138732,84.30751215,85.64431
192,77.91428571,79.69351196,79.89574888,80.5950914,79.51475525
193,70.11111111,70.2628479,70.65439694,73.86430187,70.72115326
194,77.47945205,75.29321289,76.21549577,79.10955208,76.48079681
195,79.05309735,79.05715942,78.41783559,82.46468316,78.76235199
196,86.45,78.68389893,78.58594016,80.70276545,79.52723694
197,81.59259259,73.04330444,72.87550732,75.37639279,72.96147919
198,69.61702128,77.28845215,77.19582282,77.98462244,77.93005371
199,80.85,74.28128052,73.49668164,75.1756778,74.3939743
200,82.27659574,80.02706909,79.83360168,79.70725451,81.01102448
201,68,70.7734375,70.83295284,73.20834073,70.96163177
202,91.10344828,91.82104492,90.18556045,89.29680514,91.48799133
203,90.36,83.45578003,83.15749237,84.70743489,83.83086395
204,64.15384615,70.40820313,70.53069612,73.43248266,70.11049652
205,83.17592593,80.70675659,83.80107604,84.02979789,81.79813385
206,93.96261682,100.4255371,99.58990307,90.16039993,100.2831802
207,81.16666667,75.15826416,75.54665453,77.70200159,75.86095428
208,81.62025316,86.12088013,84.95090859,83.20280888,86.13904572
209,89.11764706,73.23983765,73.56724358,75.74755284,73.51885986
210,66.5,70.87005615,71.38774254,73.8039448,71.39191437
211,75.25,69.91967773,70.28518088,73.25608571,70.23787689
