No,Height,Weight,Score,Margin,Disposals,Kicks,Marks,Handballs,Goals,Behinds,Hitouts,Tackles,Rebound50s,Inside50s,Clearances,Clangers,FreesFor,FreesAgainst,ContendedPossessions,UncontendedPossessions,ContestedMarks,MarksInside50,OnePercenters,Bounces,GoalAssists,RankPercent
881,0.431818181818182,0.549019607843137,0.355835915596872,0.2981401202629,0.331553807249227,0.336034575904916,0.320441988950276,0.266412940057088,0.056547619047619,0.080851063829787,0.001911589008363,0.237113402061856,0.156739811912226,0.193251533742331,0.122767857142857,0.349765258215962,0.11144578313253,0.26,0.217606330365974,0.341035120147874,0.151394422310757,0.06282722513089,0.077262693156733,0,0.155737704918033,84.5409836065574
882,0.681818181818182,0.549019607843137,0.799763907333629,0.730527198993148,0.348974431019949,0.382495948136143,0.549171270718232,0.25499524262607,0.032738095238095,0.038297872340426,0.001194743130227,0.244845360824742,0.333855799373041,0.124233128834356,0.010044642857143,0.373239436619718,0.213855421686747,0.435,0.222551928783383,0.370609981515712,0.362549800796813,0.039267015706806,0.556291390728477,0,0.065573770491803,88.3243243243243
883,0.590909090909091,0.411764705882353,0.026043972259112,0.43490420920151,0.017420623770722,0.021609940572664,0.028729281767956,0.011417697431018,0.005952380952381,0,0.001672640382318,0.014175257731959,0.015673981191223,0.007668711656442,0.001116071428571,0.032863849765258,0.003012048192771,0.03,0.010880316518299,0.018946395563771,0.02788844621514,0.010471204188482,0.030905077262693,0,0.016393442622951,89
884,0.431818181818182,0.235294117647059,0.258152574885643,0.342889106418683,0.17336330429896,0.195029713668287,0.228729281767956,0.122740247383444,0.104166666666667,0.068085106382979,0.002628434886499,0.179123711340206,0.068965517241379,0.110429447852761,0.050223214285714,0.206572769953052,0.087349397590362,0.235,0.123639960435213,0.169593345656192,0.111553784860558,0.112565445026178,0.067328918322296,0.25,0.147540983606557,74.8636363636364
885,0.636363636363636,0.588235294117647,0.165043529585362,0.47140260103482,0.055352627142456,0.066990815775257,0.081767955801105,0.035680304471932,0.077380952380952,0.127659574468085,0.043727598566308,0.097938144329897,0.012539184952978,0.058282208588957,0.0234375,0.117370892018779,0.057228915662651,0.125,0.067754698318497,0.031423290203327,0.163346613545817,0.096858638743456,0.049668874172186,0,0.049180327868853,70.48
886,0.25,0.372549019607843,0.154862033348089,0.511397007411551,0.066872717055353,0.091301998919503,0.082872928176796,0.033777354900095,0.0625,0.11063829787234,0,0.065721649484536,0.039184952978057,0.061349693251534,0.011160714285714,0.084507042253521,0.060240963855422,0.075,0.042532146389713,0.070702402957486,0.0199203187251,0.047120418848168,0.025386313465784,0,0.040983606557377,75.9047619047619
887,0.681818181818182,0.607843137254902,0.085583591559687,0.388616976646623,0.029221691486373,0.032414910858995,0.045303867403315,0.021883920076118,0.047619047619048,0.017021276595745,0.004540023894863,0.056701030927835,0.001567398119122,0.023006134969325,0.002232142857143,0.051643192488263,0.012048192771084,0.045,0.025717111770524,0.025415896487985,0.059760956175299,0.06282722513089,0.024282560706402,0,0.008196721311475,74.8235294117647
888,0.340909090909091,0.254901960784314,0.445108455068614,0.152286393511397,0.312728294464737,0.321988114532685,0.358011049723757,0.246907706945766,0.017857142857143,0.021276595744681,0.000238948626045,0.163659793814433,0.272727272727273,0.142638036809816,0.0390625,0.251173708920188,0.108433734939759,0.155,0.125618199802176,0.387707948243993,0.067729083665339,0.018324607329843,0.15673289183223,0,0.073770491803279,82.9868421052632
889,0.590909090909091,0.607843137254902,0.791131769219419,0.944063767305272,0.456307951671818,0.538087520259319,0.49060773480663,0.299714557564225,0.708333333333333,0.591489361702128,0.076224611708483,0.342783505154639,0.072100313479624,0.351226993865031,0.2734375,0.5,0.265060240963855,0.495,0.397131552917903,0.394177449168207,0.390438247011952,0.589005235602094,0.213024282560706,0,0.655737704918033,90.7578947368421
890,0.272727272727273,0.156862745098039,0.10174118341449,0.441336875961404,0.069120539477381,0.078876283090222,0.079558011049724,0.048525214081827,0.008928571428571,0.004255319148936,0,0.025773195876289,0.053291536050157,0.029141104294479,0.022321428571429,0.072769953051643,0.018072289156627,0.04,0.02917903066271,0.091035120147874,0,0.005235602094241,0.015452538631347,0,0.016393442622951,66.125
891,0.204545454545455,0.235294117647059,0.00597609561753,0.475737659068662,0.001123911211014,0.0032414910859,0.002209944751381,0,0.005952380952381,0.004255319148936,0,0.006443298969072,0,0.001533742331288,0.001116071428571,0.007042253521127,0.006024096385542,0.005,0.001483679525223,0.001386321626617,0,0.00261780104712,0,0.125,0,91
892,0.363636363636364,0.294117647058824,0.71609856868821,0.517689833589708,0.51531329025007,0.600216099405727,0.409944751381216,0.344909609895338,0.553571428571429,0.476595744680851,0.002867383512545,0.35180412371134,0.108150470219436,0.54601226993865,0.223214285714286,0.528169014084507,0.265060240963855,0.32,0.375370919881306,0.495841035120148,0.243027888446215,0.345549738219895,0.162251655629139,0.125,0.663934426229508,86.6168224299065
893,0.681818181818182,0.568627450980392,0.068024199498303,0.51671094951755,0.026973869064344,0.02052944354403,0.03646408839779,0.028544243577545,0.017857142857143,0.017021276595745,0.004778972520908,0.018041237113402,0.001567398119122,0.026073619631902,0.003348214285714,0.032863849765258,0.021084337349398,0.055,0.019287833827893,0.027264325323475,0.0199203187251,0.015706806282723,0.014348785871965,0,0.024590163934426,83.1111111111111
894,0.545454545454545,0.450980392156863,0.063228567212631,0.456719339952454,0.032593425119416,0.035656401944895,0.032044198895028,0.024738344433873,0,0,0,0.025773195876289,0.025078369905956,0.01840490797546,0.006696428571429,0.030516431924883,0.015060240963856,0.015,0.019287833827893,0.039279112754159,0.01195219123506,0.00261780104712,0.027593818984548,0,0.016393442622951,76.1818181818182
895,0.727272727272727,0.607843137254902,0.518297181643795,0.207663263879178,0.369204832818207,0.452188006482982,0.606629834254144,0.227878211227402,0.520833333333333,0.459574468085106,0.01768219832736,0.193298969072165,0.073667711598746,0.334355828220859,0.029017857142857,0.518779342723005,0.283132530120482,0.5,0.327398615232443,0.305914972273567,0.772908366533865,0.578534031413613,0.250551876379691,0,0.581967213114754,94.4269662921348
